"2019-08-22 03:33:03,118 - intersect.py[line:133] - INFO: Join id role is guest"
"2019-08-22 03:33:08,774 - intersect.py[line:80] - INFO: Send id role is host"
"2019-08-22 03:33:08,998 - intersect.py[line:99] - INFO: Remote data_sid to role-join"
"2019-08-22 03:33:09,030 - intersect.py[line:160] - INFO: Get intersect_host_ids from role-send"
"2019-08-22 03:33:09,206 - intersect.py[line:162] - INFO: Finish intersect_ids computing"
"2019-08-22 03:33:09,242 - intersect.py[line:183] - INFO: Remote intersect ids to role-send"
"2019-08-22 03:33:14,096 - intersect.py[line:123] - INFO: Get intersect ids from role-join!"
"2019-08-22 03:33:14,663 - intersect.py[line:48] - INFO: get intersect data_instances!"
"2019-08-22 03:33:14,729 - intersect.py[line:48] - INFO: get intersect data_instances!"
"2019-08-22 03:33:15,619 - intersect.py[line:133] - INFO: Join id role is guest"
"2019-08-22 03:33:19,918 - intersect.py[line:80] - INFO: Send id role is host"
"2019-08-22 03:33:19,963 - intersect.py[line:99] - INFO: Remote data_sid to role-join"
"2019-08-22 03:33:19,990 - intersect.py[line:160] - INFO: Get intersect_host_ids from role-send"
"2019-08-22 03:33:20,304 - intersect.py[line:162] - INFO: Finish intersect_ids computing"
"2019-08-22 03:33:20,322 - intersect.py[line:183] - INFO: Remote intersect ids to role-send"
"2019-08-22 03:33:23,329 - intersect.py[line:123] - INFO: Get intersect ids from role-join!"
"2019-08-22 03:33:23,588 - intersect.py[line:48] - INFO: get intersect data_instances!"
"2019-08-22 03:33:23,655 - intersect.py[line:48] - INFO: get intersect data_instances!"
