"2019-08-24 13:44:47,585 - intersect.py[line:133] - INFO: Join id role is guest"
"2019-08-24 13:44:52,099 - intersect.py[line:80] - INFO: Send id role is host"
"2019-08-24 13:44:52,146 - intersect.py[line:99] - INFO: Remote data_sid to role-join"
"2019-08-24 13:44:53,243 - intersect.py[line:160] - INFO: Get intersect_host_ids from role-send"
"2019-08-24 13:44:53,393 - intersect.py[line:162] - INFO: Finish intersect_ids computing"
"2019-08-24 13:44:53,427 - intersect.py[line:183] - INFO: Remote intersect ids to role-send"
"2019-08-24 13:44:57,545 - intersect.py[line:123] - INFO: Get intersect ids from role-join!"
"2019-08-24 13:44:57,838 - intersect.py[line:48] - INFO: get intersect data_instances!"
"2019-08-24 13:44:57,893 - intersect.py[line:48] - INFO: get intersect data_instances!"
"2019-08-24 13:44:58,656 - intersect.py[line:133] - INFO: Join id role is guest"
"2019-08-24 13:45:03,306 - intersect.py[line:80] - INFO: Send id role is host"
"2019-08-24 13:45:03,330 - intersect.py[line:160] - INFO: Get intersect_host_ids from role-send"
"2019-08-24 13:45:03,335 - intersect.py[line:99] - INFO: Remote data_sid to role-join"
"2019-08-24 13:45:03,517 - intersect.py[line:162] - INFO: Finish intersect_ids computing"
"2019-08-24 13:45:03,549 - intersect.py[line:183] - INFO: Remote intersect ids to role-send"
"2019-08-24 13:45:06,624 - intersect.py[line:123] - INFO: Get intersect ids from role-join!"
"2019-08-24 13:45:06,805 - intersect.py[line:48] - INFO: get intersect data_instances!"
"2019-08-24 13:45:06,805 - intersect.py[line:48] - INFO: get intersect data_instances!"
