"2019-08-24 13:10:33,634 - intersect.py[line:133] - INFO: Join id role is guest"
"2019-08-24 13:10:38,511 - intersect.py[line:80] - INFO: Send id role is host"
"2019-08-24 13:10:38,633 - intersect.py[line:99] - INFO: Remote data_sid to role-join"
"2019-08-24 13:10:39,578 - intersect.py[line:160] - INFO: Get intersect_host_ids from role-send"
"2019-08-24 13:10:39,789 - intersect.py[line:162] - INFO: Finish intersect_ids computing"
"2019-08-24 13:10:39,821 - intersect.py[line:183] - INFO: Remote intersect ids to role-send"
"2019-08-24 13:10:44,064 - intersect.py[line:123] - INFO: Get intersect ids from role-join!"
"2019-08-24 13:10:44,546 - intersect.py[line:48] - INFO: get intersect data_instances!"
"2019-08-24 13:10:44,556 - intersect.py[line:48] - INFO: get intersect data_instances!"
"2019-08-24 13:10:45,421 - intersect.py[line:133] - INFO: Join id role is guest"
"2019-08-24 13:10:50,491 - intersect.py[line:80] - INFO: Send id role is host"
"2019-08-24 13:10:50,506 - intersect.py[line:99] - INFO: Remote data_sid to role-join"
"2019-08-24 13:10:50,579 - intersect.py[line:160] - INFO: Get intersect_host_ids from role-send"
"2019-08-24 13:10:50,809 - intersect.py[line:162] - INFO: Finish intersect_ids computing"
"2019-08-24 13:10:50,837 - intersect.py[line:183] - INFO: Remote intersect ids to role-send"
"2019-08-24 13:10:54,327 - intersect.py[line:123] - INFO: Get intersect ids from role-join!"
"2019-08-24 13:10:54,833 - intersect.py[line:48] - INFO: get intersect data_instances!"
"2019-08-24 13:10:55,095 - intersect.py[line:48] - INFO: get intersect data_instances!"
