"2019-08-22 03:22:06,718 - intersect.py[line:133] - INFO: Join id role is guest"
"2019-08-22 03:22:11,995 - intersect.py[line:80] - INFO: Send id role is host"
"2019-08-22 03:22:12,266 - intersect.py[line:99] - INFO: Remote data_sid to role-join"
"2019-08-22 03:22:12,276 - intersect.py[line:160] - INFO: Get intersect_host_ids from role-send"
"2019-08-22 03:22:12,450 - intersect.py[line:162] - INFO: Finish intersect_ids computing"
"2019-08-22 03:22:12,485 - intersect.py[line:183] - INFO: Remote intersect ids to role-send"
"2019-08-22 03:22:17,085 - intersect.py[line:123] - INFO: Get intersect ids from role-join!"
"2019-08-22 03:22:17,337 - intersect.py[line:48] - INFO: get intersect data_instances!"
"2019-08-22 03:22:17,461 - intersect.py[line:48] - INFO: get intersect data_instances!"
"2019-08-22 03:22:18,274 - intersect.py[line:133] - INFO: Join id role is guest"
"2019-08-22 03:22:22,539 - intersect.py[line:80] - INFO: Send id role is host"
"2019-08-22 03:22:22,559 - intersect.py[line:99] - INFO: Remote data_sid to role-join"
"2019-08-22 03:22:22,644 - intersect.py[line:160] - INFO: Get intersect_host_ids from role-send"
"2019-08-22 03:22:22,760 - intersect.py[line:162] - INFO: Finish intersect_ids computing"
"2019-08-22 03:22:22,789 - intersect.py[line:183] - INFO: Remote intersect ids to role-send"
"2019-08-22 03:22:27,022 - intersect.py[line:123] - INFO: Get intersect ids from role-join!"
"2019-08-22 03:22:27,118 - intersect.py[line:48] - INFO: get intersect data_instances!"
"2019-08-22 03:22:27,338 - intersect.py[line:48] - INFO: get intersect data_instances!"
