"2019-08-10 09:11:01,621 - intersect.py[line:133] - INFO: Join id role is guest"
"2019-08-10 09:11:07,403 - intersect.py[line:80] - INFO: Send id role is host"
"2019-08-10 09:11:07,472 - intersect.py[line:99] - INFO: Remote data_sid to role-join"
"2019-08-10 09:11:07,558 - intersect.py[line:160] - INFO: Get intersect_host_ids from role-send"
"2019-08-10 09:11:07,714 - intersect.py[line:162] - INFO: Finish intersect_ids computing"
"2019-08-10 09:11:07,746 - intersect.py[line:183] - INFO: Remote intersect ids to role-send"
"2019-08-10 09:11:11,894 - intersect.py[line:123] - INFO: Get intersect ids from role-join!"
"2019-08-10 09:11:12,245 - intersect.py[line:48] - INFO: get intersect data_instances!"
"2019-08-10 09:11:12,533 - intersect.py[line:48] - INFO: get intersect data_instances!"
"2019-08-10 09:11:13,187 - intersect.py[line:133] - INFO: Join id role is guest"
"2019-08-10 09:11:17,644 - intersect.py[line:80] - INFO: Send id role is host"
"2019-08-10 09:11:17,679 - intersect.py[line:99] - INFO: Remote data_sid to role-join"
"2019-08-10 09:11:17,739 - intersect.py[line:160] - INFO: Get intersect_host_ids from role-send"
"2019-08-10 09:11:17,980 - intersect.py[line:162] - INFO: Finish intersect_ids computing"
"2019-08-10 09:11:18,015 - intersect.py[line:183] - INFO: Remote intersect ids to role-send"
"2019-08-10 09:11:21,091 - intersect.py[line:123] - INFO: Get intersect ids from role-join!"
"2019-08-10 09:11:21,288 - intersect.py[line:48] - INFO: get intersect data_instances!"
"2019-08-10 09:11:21,399 - intersect.py[line:48] - INFO: get intersect data_instances!"
