"2019-08-24 09:42:29,169 - intersect.py[line:133] - INFO: Join id role is guest"
"2019-08-24 09:42:32,886 - intersect.py[line:80] - INFO: Send id role is host"
"2019-08-24 09:42:32,971 - intersect.py[line:99] - INFO: Remote data_sid to role-join"
"2019-08-24 09:42:34,731 - intersect.py[line:160] - INFO: Get intersect_host_ids from role-send"
"2019-08-24 09:42:35,031 - intersect.py[line:162] - INFO: Finish intersect_ids computing"
"2019-08-24 09:42:35,049 - intersect.py[line:183] - INFO: Remote intersect ids to role-send"
"2019-08-24 09:42:39,251 - intersect.py[line:123] - INFO: Get intersect ids from role-join!"
"2019-08-24 09:42:39,513 - intersect.py[line:48] - INFO: get intersect data_instances!"
"2019-08-24 09:42:39,535 - intersect.py[line:48] - INFO: get intersect data_instances!"
"2019-08-24 09:42:40,323 - intersect.py[line:133] - INFO: Join id role is guest"
"2019-08-24 09:42:44,636 - intersect.py[line:80] - INFO: Send id role is host"
"2019-08-24 09:42:44,663 - intersect.py[line:160] - INFO: Get intersect_host_ids from role-send"
"2019-08-24 09:42:44,668 - intersect.py[line:99] - INFO: Remote data_sid to role-join"
"2019-08-24 09:42:44,986 - intersect.py[line:162] - INFO: Finish intersect_ids computing"
"2019-08-24 09:42:45,001 - intersect.py[line:183] - INFO: Remote intersect ids to role-send"
"2019-08-24 09:42:48,466 - intersect.py[line:123] - INFO: Get intersect ids from role-join!"
"2019-08-24 09:42:48,807 - intersect.py[line:48] - INFO: get intersect data_instances!"
"2019-08-24 09:42:48,811 - intersect.py[line:48] - INFO: get intersect data_instances!"
